City_ID,City,Country,Max Temp,Lat,Lng,Current Weather,Hotel Name
0,Airai,TL,54.77,-8.9266,125.4092,clear sky,Juvinal Martin
1,San Quintin,MX,74.32,30.4833,-115.95,scattered clouds,Don Eddie's Sport Fishing Center
2,Castro,BR,66.92,-24.7911,-50.0119,clear sky,CHACARA BAILLY
5,Clyde River,CA,39.43,70.4692,-68.5914,light intensity drizzle,Qamaq Hotel
6,Inhambane,MZ,67.64,-23.865,35.3833,clear sky,Oceano
9,Praia Da Vitoria,PT,75.45,38.7333,-27.0667,scattered clouds,Hotel Branco I
10,Kyshtovka,RU,65.48,56.555,76.6271,broken clouds,Uyutnaya Mini-Hotel
11,Ushuaia,AR,44.22,-54.8,-68.3,light intensity drizzle,Albatros Hotel
12,Khatanga,RU,52.18,71.9667,102.5,scattered clouds,"Gostinitsa ""Zapolyar'ye"""
13,Olafsvik,IS,52.32,64.8945,-23.7142,overcast clouds,Hotel Olafsvik
14,Magdagachi,RU,66.2,53.45,125.8,broken clouds,Motopolyana Magdagachi
15,Dingle,PH,77.94,10.9995,122.6711,light rain,SEGAYA PROPERTY
16,Shahr-E Kord,IR,83.97,32.3256,50.8644,scattered clouds,Shahrekord Tourist Hotel
17,Bluff,NZ,40.8,-46.6,168.3333,broken clouds,Bluff Homestead - Guesthouse & Campervan Park
18,Hobart,AU,50.25,-42.8794,147.3294,overcast clouds,Mantra on Collins Hobart
19,Kapoeta,SS,82.67,4.7717,33.5903,overcast clouds,Eastgate Hotel
20,Rikitea,PF,72.16,-23.1203,-134.9692,clear sky,People ThankYou
21,Leningradskiy,RU,37.36,69.3833,178.4167,broken clouds,Gostinitsa
22,Xai-Xai,MZ,65.44,-25.0519,33.6442,clear sky,Complexo da Familia
23,Tautira,PF,71.62,-17.7333,-149.15,few clouds,Pension Oaoa
24,Salalah,OM,80.69,17.0151,54.0924,broken clouds,HAMDAN PLAZA HOTEL SALALAH
25,Katsuura,JP,80.11,35.1333,140.3,scattered clouds,Katsuura Hotel Mikazuki
26,Georgetown,MY,85.95,5.4112,100.3354,few clouds,Cititel Penang
27,New Norfolk,AU,49.91,-42.7826,147.0587,overcast clouds,The Shingles Riverside Cottages
28,Upernavik,GL,42.42,72.7868,-56.1549,overcast clouds,Gina's Guesthouse - Upernavik
29,Najran,SA,77.65,17.4924,44.1277,broken clouds,محمد هادي ال فطيح
31,Nosivka,UA,66.4,50.9315,31.5828,clear sky,U Teshchy
32,Punta Arenas,CL,42.91,-53.15,-70.9167,few clouds,Hotel Dreams Del Estrecho
33,Fortuna,US,57.65,40.5982,-124.1573,few clouds,Super 8 by Wyndham Fortuna
34,Bredasdorp,ZA,47.52,-34.5322,20.0403,scattered clouds,Bredasdorp Country Manor
35,Barrow,US,35.62,71.2906,-156.7887,mist,King Eider Inn
36,Hermanus,ZA,48.9,-34.4187,19.2345,broken clouds,Misty Waves Boutique Hotel
37,Kapaa,US,77.32,22.0752,-159.319,overcast clouds,Sheraton Kauai Coconut Beach Resort
38,Itarema,BR,87.48,-2.9248,-39.9167,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
39,Nanzhou,CN,77.58,29.3596,112.4024,light rain,兴禹国际大酒店
40,Vaini,TO,71.76,-21.2,-175.2,few clouds,Keleti Beach Resort
41,Redmond,US,69.85,47.674,-122.1215,scattered clouds,Seattle Marriott Redmond
