City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Tiksi,RU,2021-07-24 22:26:02,71.6872,128.8694,41.81,81,37,4.63,scattered clouds
1,Souillac,MU,2021-07-24 22:26:02,-20.5167,57.5167,70.18,83,40,11.5,light rain
2,Vostok,RU,2021-07-24 22:26:02,46.4856,135.8833,78.17,68,78,1.57,broken clouds
3,Luderitz,NA,2021-07-24 22:26:03,-26.6481,15.1594,64.45,25,20,5.37,few clouds
4,Torbay,CA,2021-07-24 22:26:03,47.6666,-52.7314,62.76,87,75,12.66,light rain
5,Nador,MA,2021-07-24 22:26:03,35.174,-2.9287,89.85,23,0,14.97,clear sky
6,Tuktoyaktuk,CA,2021-07-24 22:26:04,69.4541,-133.0374,66.2,45,75,14.97,broken clouds
7,Jamestown,US,2021-07-24 22:26:04,42.097,-79.2353,73.71,84,75,8.99,broken clouds
8,Dali,CN,2021-07-24 22:26:04,25.7,100.1833,61.74,92,66,2.28,light rain
9,Katsuura,JP,2021-07-24 22:26:04,35.1333,140.3,84.11,79,4,9.55,clear sky
10,Victoria,HK,2021-07-24 22:24:57,22.2855,114.1577,82.38,93,96,4.0,light rain
11,Port Alfred,ZA,2021-07-24 22:26:05,-33.5906,26.891,53.8,71,0,17.31,clear sky
12,Pilar,BR,2021-07-24 22:26:05,-9.5972,-35.9567,73.33,88,0,4.9,clear sky
13,Albany,US,2021-07-24 22:26:05,42.6001,-73.9662,80.55,58,87,1.99,overcast clouds
14,Chapais,CA,2021-07-24 22:26:05,49.7834,-74.8492,74.98,39,100,12.35,overcast clouds
15,Saint-Ambroise,CA,2021-07-24 22:26:06,48.5501,-71.3324,81.14,50,100,5.28,overcast clouds
16,Port Elizabeth,ZA,2021-07-24 22:22:08,-33.918,25.5701,50.29,76,40,6.91,scattered clouds
17,Tabuk,PH,2021-07-24 22:26:06,17.4189,121.4443,77.07,86,100,2.64,light rain
18,Kapaa,US,2021-07-24 22:26:06,22.0752,-159.319,84.18,82,90,5.99,light rain
19,Saskylakh,RU,2021-07-24 22:26:06,71.9167,114.0833,60.69,53,100,6.82,overcast clouds
20,Ushuaia,AR,2021-07-24 22:21:19,-54.8,-68.3,37.06,75,75,5.75,broken clouds
21,Arraial Do Cabo,BR,2021-07-24 22:26:07,-22.9661,-42.0278,70.43,75,0,23.29,clear sky
22,Hithadhoo,MV,2021-07-24 22:26:07,-0.6,73.0833,81.75,78,48,10.78,scattered clouds
23,Rhyl,GB,2021-07-24 22:26:07,53.3196,-3.4886,64.85,84,100,6.22,overcast clouds
24,Bilibino,RU,2021-07-24 22:26:00,68.0546,166.4372,55.06,57,46,2.66,scattered clouds
25,Nikolskoye,RU,2021-07-24 22:26:08,59.7035,30.7861,56.01,68,42,3.98,scattered clouds
26,Yerbogachen,RU,2021-07-24 22:26:08,61.2767,108.0108,63.43,70,99,3.0,overcast clouds
27,Hermanus,ZA,2021-07-24 22:26:08,-34.4187,19.2345,50.9,56,14,5.68,few clouds
28,Verkhoyansk,RU,2021-07-24 22:26:09,67.5447,133.385,67.17,53,68,11.36,broken clouds
29,Busselton,AU,2021-07-24 22:26:09,-33.65,115.3333,57.09,71,98,16.96,overcast clouds
30,Rikitea,PF,2021-07-24 22:26:09,-23.1203,-134.9692,69.26,54,0,1.43,clear sky
31,Cape Town,ZA,2021-07-24 22:25:42,-33.9258,18.4232,51.28,81,19,2.3,smoke
32,Merauke,ID,2021-07-24 22:26:10,-8.4667,140.3333,75.99,88,94,7.63,light rain
33,Saldanha,ZA,2021-07-24 22:26:10,-33.0117,17.9442,48.25,61,35,11.81,scattered clouds
34,Havre-Saint-Pierre,CA,2021-07-24 22:26:10,50.2334,-63.5986,62.96,67,1,6.91,clear sky
35,Sao Filipe,CV,2021-07-24 22:26:10,14.8961,-24.4956,74.48,74,64,9.8,broken clouds
36,Anshun,CN,2021-07-24 22:26:10,26.25,105.9333,64.42,95,100,6.02,overcast clouds
