City_ID,City,Country,Max Temp,Lat,Lng,Current Weather,Hotel Name
1,Punta Arenas,CL,41.11,-53.15,-70.9167,broken clouds,Hotel Dreams Del Estrecho
2,Chaoyang,CN,74.28,41.5703,120.4586,broken clouds,Chaoyang Genting International Hotel
3,Saint-Philippe,RE,67.59,-21.3585,55.7679,light rain,"Chambres d'hôte ""La Trinité"""
5,Rikitea,PF,69.26,-23.1203,-134.9692,clear sky,People ThankYou
6,Torbay,CA,66.97,47.6666,-52.7314,broken clouds,Gallows Cove
7,Bluff,NZ,44.8,-46.6,168.3333,overcast clouds,Bluff Homestead - Guesthouse & Campervan Park
8,Kapaa,US,82.72,22.0752,-159.319,light rain,Sheraton Kauai Coconut Beach Resort
9,Hermanus,ZA,51.91,-34.4187,19.2345,few clouds,Misty Waves Boutique Hotel
10,Hay River,CA,53.58,60.8156,-115.7999,broken clouds,Ptarmigan Inn
11,Palmer,US,82.69,42.1584,-72.3287,few clouds,Wedgewood Motel
12,Avarua,CK,78.85,-21.2078,-159.775,few clouds,Paradise Inn
13,Hilo,US,82.11,19.7297,-155.09,light rain,Hilo Hawaiian Hotel
14,Alofi,NU,80.49,-19.0595,-169.9187,scattered clouds,Taloa Heights
16,Ushuaia,AR,38.86,-54.8,-68.3,broken clouds,Albatros Hotel
17,Qaanaaq,GL,41.4,77.484,-69.3632,overcast clouds,Qaanaaq Hotel
18,Petukhovo,RU,65.55,55.0692,67.9019,light rain,Гостиница
19,Esperance,AU,49.84,-33.8667,121.9,clear sky,Hospitality Esperance
20,Camocim,BR,79.43,-2.9022,-40.8411,few clouds,Hotel Ilha do Amor
21,Hobart,AU,45.27,-42.8794,147.3294,broken clouds,Mantra on Collins Hobart
22,Bethel,US,82.08,41.3712,-73.414,clear sky,Courtyard by Marriott Danbury
23,Vaini,TO,78.96,-21.2,-175.2,few clouds,Keleti Beach Resort
24,Yellowknife,CA,57.33,62.456,-114.3525,broken clouds,The Explorer Hotel
25,Marsh Harbour,BS,78.31,26.5412,-77.0636,overcast clouds,Abaco Beach Resort
26,Hami,CN,84.99,42.8,93.45,clear sky,Laoyutang Resort
27,Kaeo,NZ,60.33,-35.1,173.7833,overcast clouds,Bushido Lodge
28,Chimbote,PE,65.79,-9.0853,-78.5783,few clouds,Hotel Viera Chimbote
29,Boa Vista,BR,84.18,2.8197,-60.6733,broken clouds,Aipana Plaza Hotel
30,Atuona,PF,78.84,-9.8,-139.0333,scattered clouds,Villa Enata
31,Jamestown,US,74.52,42.097,-79.2353,overcast clouds,Hampton Inn & Suites Jamestown
32,Nikolskoye,RU,57.09,59.7035,30.7861,scattered clouds,Tourist House - Sablino
34,Rosarito,MX,86.94,32.3333,-117.0333,overcast clouds,Hotel Festival Plaza Rosarito
35,Santa Cruz,BO,86.05,-17.8,-63.1667,clear sky,Aviador Hotel Boutique
37,Port Elizabeth,ZA,53.89,-33.918,25.5701,scattered clouds,39 On Nile Guest House
38,Cape Town,ZA,52.12,-33.9258,18.4232,smoke,Southern Sun Waterfront Cape Town
39,Thongwa,MM,77.16,16.7619,96.5278,overcast clouds,U Poe Sann
40,Komsomolskiy,UZ,81.32,40.4272,71.7189,clear sky,Ikathouse
41,Ahipara,NZ,58.57,-35.1667,173.1667,overcast clouds,Ahipara Holiday Park
42,Moncao,PT,65.52,42.0789,-8.4808,broken clouds,Hotel Bienestar Termas de Monção
43,Codrington,AU,43.54,-38.2667,141.9667,moderate rain,Codrington Gardens Bed And Breakfast
44,Hithadhoo,MV,81.75,-0.6,73.0833,scattered clouds,Scoop Guest House
45,Madang,PG,77.41,-5.2246,145.7966,broken clouds,Comfort Inn Hotel
46,Busselton,AU,56.08,-33.65,115.3333,overcast clouds,Observatory Guest House
47,Castro,BR,55.56,-24.7911,-50.0119,clear sky,CHACARA BAILLY
48,San Carlos De Bariloche,AR,42.55,-41.1456,-71.3082,light rain,Hotel Patagonia
49,Yining,CN,73.67,29.0361,114.5636,broken clouds,Xiushui Hotel
50,East London,ZA,55.02,-33.0153,27.9116,clear sky,Tu Casa
51,Vila Franca Do Campo,PT,72.01,37.7167,-25.4333,few clouds,Pestana Bahia Praia
53,Port Alfred,ZA,53.8,-33.5906,26.891,clear sky,The Halyards Hotel
54,Tuktoyaktuk,CA,64.4,69.4541,-133.0374,broken clouds,End of The Road Ltd.
57,Ormara,PK,81.81,25.2088,64.6357,broken clouds,Crystal Beach and Camping Resort Ormara
58,Kununurra,AU,73.38,-15.7667,128.7333,light rain,Hotel Kununurra
59,Lorengau,PG,82.42,-2.0226,147.2712,broken clouds,Lorengau Harbourside Hotel
60,Faya,SA,66.31,18.3851,42.4509,broken clouds,مقبرة ال مجمل
61,Carnarvon,AU,59.07,-24.8667,113.6333,overcast clouds,Hospitality Carnarvon
62,Tarakan,ID,74.7,3.3,117.6333,scattered clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
63,Kalabo,ZM,61.84,-14.97,22.6814,clear sky,Sikakubete Guest House Kalabo Town Council
64,Pevek,RU,36.97,69.7008,170.3133,overcast clouds,Hotel ABC
66,Fez,MA,84.45,34.0372,-4.9998,scattered clouds,Hotel Mounia Fès
67,Butaritari,KI,83.57,3.0707,172.7902,overcast clouds,Isles Sunset Lodge
68,Kieta,PG,82.51,-6.2167,155.6333,overcast clouds,Uruna Bay Retreat
69,Husavik,IS,60.71,66.0449,-17.3389,broken clouds,Bjarnabúð
70,Zamora,EC,79.92,-4.0692,-78.9567,scattered clouds,Cabañas Ecológicas Copalinga
72,Banjar,ID,75.06,-8.19,114.9675,clear sky,The Hamsa Resort
73,Barrow,US,42.82,71.2906,-156.7887,moderate rain,King Eider Inn
74,Chuy,UY,56.01,-33.6971,-53.4616,overcast clouds,Nuevo Hotel Plaza
75,Kodiak,US,58.51,57.79,-152.4072,broken clouds,Best Western Kodiak Inn And Convention Center
76,Puerto Ayora,EC,80.56,-0.7393,-90.3518,few clouds,Finch Bay Galapagos Hotel
77,Dingle,PH,78.21,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
78,Chapais,CA,74.98,49.7834,-74.8492,overcast clouds,Hôtel Opémiska
79,Souillac,MU,70.18,-20.5167,57.5167,light rain,Shanti Maurice Resort & Spa
80,Airai,TL,55.26,-8.9266,125.4092,clear sky,Juvinal Martin
81,Mataura,NZ,44.47,-46.1927,168.8643,overcast clouds,Ellie's Villa
82,Faanui,PF,77.74,-16.4833,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
83,Itarema,BR,78.48,-2.9248,-39.9167,few clouds,"Sea Lounge! Bar, Club & Restaurant"
84,Zheleznodorozhnyy,RU,59.36,55.7503,38.0042,scattered clouds,Hotel Dali
85,Fort Saint James,CA,70.11,54.4333,-124.25,overcast clouds,The View Hotel
86,Coolum Beach,AU,62.11,-26.5333,153.1,scattered clouds,Palmer Coolum Resort
87,Vardo,NO,46.06,70.3705,31.1107,overcast clouds,Vardø Hotel AS
91,Bathurst,AU,38.82,-33.4166,149.5806,overcast clouds,Bathurst Motor Inn
92,Nova Olimpia,BR,82.98,-14.7972,-57.2881,clear sky,Motel glamour
93,Homestead,US,89.6,25.4687,-80.4776,clear sky,Travelodge by Wyndham Florida City/Homestead/Everglades
94,Moree,AU,44.62,-29.4667,149.85,light rain,Molika Springs Motel
95,Ponta Do Sol,PT,73.71,32.6667,-17.1,clear sky,Hotel do Campo
96,Bud,US,88.12,39.447,-86.1758,broken clouds,Ted McQuinn Trust
97,Victoria,HK,83.32,22.2855,114.1577,overcast clouds,Mini Hotel Central
98,Ambilobe,MG,63.32,-13.2,49.05,scattered clouds,Hôtel & Restaurant DIANA Ambilobe
99,Teutonia,BR,72.79,-29.4481,-51.8064,clear sky,Baviera Park Hotel
100,Vigrestad,NO,62.96,58.5667,5.7,clear sky,Brusand Camping
101,Mana,GF,78.26,5.6592,-53.7767,overcast clouds,LE SAMANA
102,Tagbac,PH,73.72,7.089,125.1567,overcast clouds,Sitio Maupot Family Resort
104,Georgetown,MY,82.89,5.4112,100.3354,few clouds,Cititel Penang
105,Am Timan,TD,77.58,11.0297,20.2827,moderate rain,Palais du chef Canton Salamt
106,Ribeira Grande,PT,72.19,38.5167,-28.7,broken clouds,Quinta da Meia Eira
107,Bredasdorp,ZA,43.92,-34.5322,20.0403,few clouds,Bredasdorp Country Manor
108,Harper,LR,75.6,4.375,-7.7169,overcast clouds,Screensaver
110,Aldan,RU,56.88,58.6031,125.3894,overcast clouds,Aldan Guest House
112,Pisco,PE,66.25,-13.7,-76.2167,clear sky,Hotel San Isidro Oficial
113,Havoysund,NO,45.48,70.9963,24.6622,overcast clouds,Arctic View Glamping & Restaurant
114,Yarada,IN,82.72,17.65,83.2667,mist,Jeevan
115,Erdenet,MN,54.54,49.0333,104.0833,overcast clouds,Erdenet hotel
116,Olafsvik,IS,50.11,64.8945,-23.7142,broken clouds,Hotel Olafsvik
117,Hervey Bay,AU,55.51,-25.2986,152.8535,clear sky,Shelly Bay Resort
118,Tukrah,LY,78.24,32.5341,20.5791,clear sky,Lokta restaurant
120,Maiduguri,NG,81.41,11.8464,13.1603,overcast clouds,Kagel Mari Police Station
121,Whitehorse,CA,63.37,60.7161,-135.0538,broken clouds,The Sternwheeler Hotel & Conference Centre
122,Rodrigues Alves,BR,89.8,-7.738,-72.6509,clear sky,Pousada Aconchego
123,Zharkent,KZ,72.45,44.1628,80.0,clear sky,гостиница Satti
124,Khatanga,RU,56.43,71.9667,102.5,broken clouds,"Gostinitsa ""Zapolyar'ye"""
125,Urucara,BR,82.53,-2.5364,-57.76,overcast clouds,Pousada Maria Bonita
126,North Bend,US,68.16,43.4065,-124.2243,overcast clouds,Red Lion Hotel Coos Bay
127,Port Pirie,AU,44.69,-33.1833,138.0167,scattered clouds,John Pirie Motor Inn
128,Paamiut,GL,41.74,61.994,-49.6678,broken clouds,Hotel Ivaana
129,Mahebourg,MU,70.09,-20.4081,57.7,light rain,Shandrani Beachcomber Resort & Spa
130,Rio Gallegos,AR,39.25,-51.6226,-69.2181,clear sky,Hotel Santa Cruz
131,Taltal,CL,59.27,-25.4,-70.4833,clear sky,Residencial Karime
132,Kampene,CD,72.03,-3.6,26.6667,scattered clouds,Paroisse catholique Kampene
134,Bonavista,CA,63.12,48.6499,-53.1147,light rain,Abbott's Bed & Breakfast
135,Garowe,SO,77.88,8.4054,48.4845,broken clouds,Curubo Hotel
136,Lamlash,GB,62.47,55.5336,-5.1296,overcast clouds,Arran Sleeping Huts
137,Beyneu,KZ,84.33,45.3167,55.2,broken clouds,NUR
138,Namie,JP,75.97,37.4833,141.0,clear sky,いこいの村なみえ
139,Tripoli,LY,81.52,32.8752,13.1875,clear sky,Hotel Al-Safwa
141,Cherskiy,RU,50.74,68.75,161.3,overcast clouds,Gostinitsa
142,Sayyan,YE,63.68,15.1718,44.3244,overcast clouds,متنزه و بحيرة سيان
143,Nanortalik,GL,43.34,60.1432,-45.2371,overcast clouds,Hotel Kap Farvel
144,Mahanoro,MG,66.83,-19.9,48.8,moderate rain,BUNGALOW MAHAMANINA
145,Haines Junction,CA,60.75,60.7522,-137.5108,overcast clouds,Parkside Inn
146,Clyde River,CA,34.03,70.4692,-68.5914,light rain,Qamaq Hotel
147,Hastings,GB,66.33,50.8552,0.5729,broken clouds,Zanzibar Hotel
148,Bambous Virieux,MU,70.05,-20.3428,57.7575,light rain,Casa Tia Villa
149,Ayorou,NE,83.41,14.7308,0.9174,overcast clouds,Hotel Amenokal
150,Ust-Koksa,RU,53.96,50.2696,85.6108,few clouds,Uymonskaya Dolina
152,New Norfolk,AU,44.92,-42.7826,147.0587,broken clouds,The Shingles Riverside Cottages
153,Parainen,FI,60.22,60.3067,22.301,scattered clouds,Hotell Kalkstrand
155,The Valley,AI,84.06,18.217,-63.0578,broken clouds,CeBlue Villas & Beach Resort
156,Ochamchira,GE,70.3,42.7121,41.4721,overcast clouds,Resort on Papaskiri 76
157,Nchelenge,ZM,66.58,-9.3451,28.734,few clouds,KD Travellers Home
158,Obihiro,JP,71.51,42.9172,143.2044,overcast clouds,Tokachi Gardens Hotel
159,Waipawa,NZ,50.04,-41.4122,175.5153,clear sky,Tora Coastal Walk
160,Boguchany,RU,61.29,58.3814,97.4531,clear sky,Uyut
161,Kathu,TH,86.7,7.9178,98.3332,light rain,Novotel Phuket Resort
162,Tasiilaq,GL,41.16,65.6145,-37.6368,light rain,The Red House
163,Luau,AO,68.11,-10.7073,22.2247,few clouds,Casa- Bernardo Cândido
165,Jishou,CN,71.35,28.3167,109.7167,scattered clouds,7 Days Inn
166,Upernavik,GL,40.1,72.7868,-56.1549,overcast clouds,Gina's Guesthouse - Upernavik
167,Arraial Do Cabo,BR,69.76,-22.9661,-42.0278,clear sky,Pousada Porto Praia
168,Namibe,AO,65.5,-15.1961,12.1522,clear sky,Hotel Chik Chik Namibe
169,Gaspe,CA,71.82,48.8334,-64.4819,few clouds,Rodeway Inn
170,Mponela,MW,50.86,-13.5319,33.7401,scattered clouds,Ram's Executive Lodge
171,Kirkwall,GB,55.45,58.9848,-2.9587,overcast clouds,Kirkwall Hotel
172,Iqaluit,CA,51.53,63.7506,-68.5145,light rain,Frobisher Inn
173,Jacareacanga,BR,84.27,-6.2222,-57.7528,overcast clouds,Casa do Ian😎
175,Gitarama,RW,67.46,-2.0744,29.7567,overcast clouds,Muhanga in Cyakabiri Motel
177,Victor Harbor,AU,51.91,-35.5667,138.6167,broken clouds,McCracken Country Club
178,Owen Sound,CA,73.33,44.5672,-80.9435,overcast clouds,Comfort Inn
179,Suhut,TR,65.43,38.5311,30.5458,light rain,Suhut Ogretmenevi ve Aksam Sanat Okulu
180,Campbell River,CA,79.27,50.0163,-125.2446,few clouds,Ramada by Wyndham Campbell River
