City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Semey,KZ,2021-07-22 14:31:26,50.4111,80.2275,80.82,41,0,11.18
1,Ushuaia,AR,2021-07-22 14:30:16,-54.8,-68.3,40.66,75,75,9.22
2,Mataura,NZ,2021-07-22 14:31:27,-46.1927,168.8643,40.48,97,9,2.08
3,Sambava,MG,2021-07-22 14:31:27,-14.2667,50.1667,70.9,82,1,11.88
4,Georgetown,MY,2021-07-22 14:31:28,5.4112,100.3354,87.89,64,20,3.44
5,Kapaa,US,2021-07-22 14:31:29,22.0752,-159.319,77.32,84,90,3.0
6,Albany,US,2021-07-22 14:31:29,42.6001,-73.9662,74.32,72,95,8.08
7,Hobart,AU,2021-07-22 14:31:29,-42.8794,147.3294,52.27,57,100,5.99
8,Lethem,GY,2021-07-22 14:31:29,3.3803,-59.7968,86.81,62,19,3.98
9,Bluff,NZ,2021-07-22 14:31:29,-46.6,168.3333,40.8,81,69,12.66
10,Chunoyar,RU,2021-07-22 14:31:30,57.4467,97.3217,58.05,78,14,3.13
11,Isangel,VU,2021-07-22 14:31:30,-19.55,169.2667,73.8,88,99,9.42
12,Kamyshin,RU,2021-07-22 14:31:30,50.0983,45.416,76.82,54,98,15.39
13,Hermanus,ZA,2021-07-22 14:31:30,-34.4187,19.2345,54.9,64,72,8.77
14,Iqaluit,CA,2021-07-22 14:27:19,63.7506,-68.5145,49.73,71,75,15.99
15,East London,ZA,2021-07-22 14:31:31,-33.0153,27.9116,54.54,50,20,34.52
16,Byron Bay,AU,2021-07-22 14:31:31,-28.65,153.6167,52.88,86,23,6.22
17,Provideniya,RU,2021-07-22 14:31:31,64.3833,-173.3,42.87,77,100,3.31
18,Saldanha,ZA,2021-07-22 14:31:31,-33.0117,17.9442,55.45,63,8,11.1
19,Rikitea,PF,2021-07-22 14:31:32,-23.1203,-134.9692,71.91,72,12,11.79
20,Marzuq,YE,2021-07-22 14:31:32,14.4,46.4667,85.66,47,74,8.81
21,Cidreira,BR,2021-07-22 14:31:32,-30.1811,-50.2056,61.02,64,6,12.57
22,Arki,IN,2021-07-22 14:31:32,31.15,76.9667,73.72,84,92,2.39
23,Souillac,MU,2021-07-22 14:31:32,-20.5167,57.5167,71.98,68,20,12.66
24,Chuy,UY,2021-07-22 14:31:32,-33.6971,-53.4616,56.98,62,16,7.65
25,Teahupoo,PF,2021-07-22 14:31:33,-17.8333,-149.2667,66.16,73,11,11.34
26,Tias,ES,2021-07-22 14:31:33,28.9611,-13.645,80.35,61,20,24.16
27,Busselton,AU,2021-07-22 14:31:33,-33.65,115.3333,55.09,73,100,15.12
28,Walvis Bay,NA,2021-07-22 14:31:33,-22.9575,14.5053,76.15,22,0,16.11
29,Atuona,PF,2021-07-22 14:31:33,-9.8,-139.0333,76.98,76,100,13.11
30,Jamestown,US,2021-07-22 14:31:34,42.097,-79.2353,68.52,82,1,8.05
31,Barrow,US,2021-07-22 14:31:34,71.2906,-156.7887,35.62,93,90,14.97
32,Saskylakh,RU,2021-07-22 14:31:34,71.9167,114.0833,60.04,60,89,15.46
33,Matamoros,MX,2021-07-22 14:31:34,25.5333,-103.25,73.11,66,75,4.25
34,Horki,BY,2021-07-22 14:31:34,54.2861,30.9842,71.13,44,14,11.01
35,Lebu,CL,2021-07-22 14:31:34,-37.6167,-73.65,52.3,77,99,3.13
36,Lazaro Cardenas,MX,2021-07-22 14:31:35,17.9583,-102.2,81.81,77,73,4.61
37,Severo-Kurilsk,RU,2021-07-22 14:31:35,50.6789,156.125,49.57,95,60,4.54
38,New Norfolk,AU,2021-07-22 14:31:35,-42.7826,147.0587,51.93,61,100,1.01
39,Pingliang,CN,2021-07-22 14:31:35,35.5392,106.6861,70.63,89,96,7.47
40,Goderich,CA,2021-07-22 14:31:36,43.7501,-81.7165,70.21,77,27,5.75
41,Bengkulu,ID,2021-07-22 14:31:36,-3.8004,102.2655,76.82,83,27,3.67
42,Cape Town,ZA,2021-07-22 14:30:04,-33.9258,18.4232,58.1,63,40,3.0
43,Asau,RO,2021-07-22 14:31:37,46.4333,26.4,74.32,75,63,6.78
44,Aquin,HT,2021-07-22 14:31:37,18.2833,-73.4,83.98,69,72,4.81
45,Qaanaaq,GL,2021-07-22 14:31:38,77.484,-69.3632,43.75,69,72,6.78
46,Biak,ID,2021-07-22 14:31:38,-0.9131,122.8766,74.44,89,100,8.23
47,Kajaani,FI,2021-07-22 14:30:38,64.2273,27.7285,59.05,72,0,14.97
48,Hilo,US,2021-07-22 14:31:38,19.7297,-155.09,73.13,88,75,4.61
49,Norman Wells,CA,2021-07-22 14:31:38,65.282,-126.8329,60.84,82,75,3.44
50,Ancud,CL,2021-07-22 14:29:29,-41.8697,-73.8203,49.53,93,100,13.8
51,Plettenberg Bay,ZA,2021-07-22 14:31:39,-34.0527,23.3716,48.96,79,100,12.41
52,Alta,NO,2021-07-22 14:31:39,69.9689,23.2717,49.24,84,75,10.0
53,Lagoa,PT,2021-07-22 14:28:40,39.05,-27.9833,67.21,75,57,12.68
54,Saint-Philippe,RE,2021-07-22 14:31:39,-21.3585,55.7679,71.19,74,51,12.46
55,Klyuchi,RU,2021-07-22 14:31:40,52.2667,79.1667,72.84,50,23,11.72
56,Qui Nhon,VN,2021-07-22 14:31:40,13.7667,109.2333,84.24,66,100,14.32
57,Houma,US,2021-07-22 14:31:40,29.5958,-90.7195,87.8,78,40,3.44
58,Waingapu,ID,2021-07-22 14:31:40,-9.6567,120.2641,73.09,82,26,5.14
59,Spirit River,CA,2021-07-22 14:31:41,55.7833,-118.8361,54.75,59,1,19.06
60,Avarua,CK,2021-07-22 14:31:41,-21.2078,-159.775,69.85,100,16,2.3
61,Punta Arenas,CL,2021-07-22 14:31:41,-53.15,-70.9167,33.91,93,40,5.75
62,Coihaique,CL,2021-07-22 14:31:41,-45.5752,-72.0662,48.81,93,75,5.75
63,Deskati,GR,2021-07-22 14:31:41,39.9225,21.8028,84.92,19,3,5.01
64,Zhanaozen,KZ,2021-07-22 14:31:42,43.3,52.8,100.62,14,31,9.26
65,Lysva,RU,2021-07-22 14:31:42,58.1086,57.8053,62.94,97,100,11.3
66,Arraial Do Cabo,BR,2021-07-22 14:31:42,-22.9661,-42.0278,75.16,78,20,4.61
67,Atikokan,CA,2021-07-22 14:31:42,48.7555,-91.6216,67.89,52,98,5.86
68,Opuwo,NA,2021-07-22 14:31:42,-18.0607,13.84,78.69,11,0,13.56
